School DBN,date,temperature_2m_mean (°C),precipitation_sum (mm),absent_rate,present_rate
07X334,2019/06,19.677777777777777,7.011111111111111,0.14197015235022262,0.8580298476497774
07X343,2018/09,21.279999999999998,13.366666666666667,0.05108005880686284,0.9471945985104859
07X343,2018/10,13.759090909090908,2.7409090909090907,0.05190670848833679,0.9473587301131494
07X343,2018/11,6.911111111111111,6.238888888888889,0.06479707337151291,0.933932047906628
07X343,2018/12,2.393333333333333,3.5600000000000005,0.06525956284153006,0.9345211389128559
07X343,2019/01,-0.8428571428571429,2.085714285714286,0.07752820760682955,0.9220059527819008
07X343,2019/02,0.892857142857143,3.0500000000000003,0.06792717086834733,0.9311391223155929
07X343,2019/03,2.785,2.825,0.05537775555764346,0.9444604321446219
07X343,2019/04,9.2125,3.5125,0.052588996763754045,0.9474110032362459
07X343,2019/05,15.477272727272727,3.227272727272727,0.07208002353633422,0.9270373639305678
07X343,2019/06,20.146666666666665,7.493333333333334,0.18360302049622437,0.8142394822006473
07X359,2018/09,21.279999999999998,13.366666666666667,0.06393970687374485,0.9360602931262552
07X359,2018/10,13.759090909090908,2.7409090909090907,0.04980662589695512,0.9501933741030448
07X359,2018/11,6.911111111111111,6.238888888888889,0.08173679676247847,0.9182632032375214
07X359,2018/12,2.393333333333333,3.5600000000000005,0.07523972323972324,0.9247602767602767
07X359,2019/01,-0.8428571428571429,2.085714285714286,0.08599537881878701,0.9140046211812131
07X359,2019/02,0.892857142857143,3.0500000000000003,0.05764671422228236,0.9423532857777176
07X359,2019/03,2.785,2.825,0.05057803468208093,0.9446531791907514
07X359,2019/04,9.2125,3.5125,0.04645482533299824,0.9535451746670017
07X359,2019/05,15.477272727272727,3.227272727272727,0.04950675608070899,0.950493243919291
07X359,2019/06,20.146666666666665,7.493333333333334,0.15651340996168583,0.8434865900383142
07X369,2018/09,21.279999999999998,13.366666666666667,0.07077235670799352,0.9292276432920065
07X369,2018/10,13.759090909090908,2.7409090909090907,0.05918109968774543,0.9408189003122547
07X369,2018/11,6.911111111111111,6.238888888888889,0.07554454237930307,0.9244554576206969
07X369,2018/12,2.393333333333333,3.5600000000000005,0.08408440719904922,0.9159155928009508
07X369,2019/01,-0.8428571428571429,2.085714285714286,0.10529823487926826,0.8947017651207316
